#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
16074011|2017-06-27T07:23:19.560000|42.8398|12.7018|8.0|SURVEY-INGV||||ML|3.2|--|3 km NE Castel Ritaldi (PG)
16085041|2017-06-28T00:56:43.570000|42.7767|13.2153|13.0|SURVEY-INGV||||ML|3.2|--|7 km W Arquata del Tronto (AP)
16106511|2017-06-29T08:55:46.070000|42.639|13.2152|11.2|SURVEY-INGV||||ML|3.1|--|5 km E Cittareale (RI)
16117541|2017-06-29T21:41:21.960000|42.6347|13.2107|10.7|BULLETIN-INGV||||Mw|3.5|--|4 km E Cittareale (RI)
16119171|2017-06-30T00:25:17.980000|42.6312|13.2142|12.2|BULLETIN-INGV||||Mw|3.8|--|5 km E Cittareale (RI)
16119491|2017-06-30T00:39:58.250000|43.6563|12.0633|9.3|SURVEY-INGV||||ML|3.1|--|2 km SE Pieve Santo Stefano (AR)
16137461|2017-07-01T08:10:34.130000|46.438|7.1543|4.0|SURVEY-INGV||||ML|4.0|--|Svizzera (SVIZZERA)
16145011|2017-07-01T19:12:26.760000|41.9888|14.0777|7.8|SURVEY-INGV||||ML|3.2|--|4 km SE Campo di Giove (AQ)
16145051|2017-07-01T19:17:26.010000|42.6497|13.3152|8.4|BULLETIN-INGV||||Mw|3.6|--|3 km NE Amatrice (RI)
16156031|2017-07-02T19:21:21.490000|42.9132|13.1642|6.0|SURVEY-INGV||||Mw|3.2|--|2 km NE Castelsantangelo sul Nera (MC)
16163421|2017-07-03T11:18:21.698000|41.1829|20.8557|10.1|SURVEY-INGV-A||||Mw|4.7|--|Macedonia [Land]
16201531|2017-07-06T06:04:48.470000|38.8643|16.8978|29.4|BULLETIN-INGV||||Mw|3.7|--|Costa Ionica Catanzarese (Catanzaro)
16209281|2017-07-06T16:58:33.010000|46.0248|14.9612|1.8|SURVEY-INGV||||ML|3.3|--|Slovenia (SLOVENIA)
16229961|2017-07-08T04:04:46.520000|42.9987|13.003|8.3|SURVEY-INGV||||ML|3.2|--|N Monte Cavallo (MC)
16231581|2017-07-08T05:17:39.930000|42.9943|13.0008|7.0|BULLETIN-INGV||||ML|3.4|--|W Monte Cavallo (MC)
16232151|2017-07-08T05:26:26.550000|43.0002|12.9957|8.3|SURVEY-INGV||||ML|3.0|--|1 km NW Monte Cavallo (MC)
16258031|2017-07-09T22:39:24.250000|42.7967|13.1428|9.9|SURVEY-INGV||||ML|3.2|--|4 km E Norcia (PG)
16260311|2017-07-10T03:16:27.170000|41.8392|15.9388|28.0|SURVEY-INGV||||ML|3.4|--|7 km S Vico del Gargano (FG)
16319431|2017-07-14T06:22:17.290000|38.98|17.0318|30.5|SURVEY-INGV||||ML|3.2|--|6 km W Isola di Capo Rizzuto (KR)
16341151|2017-07-15T20:30:18.410000|34.9506|25.429|10.0|SURVEY-INGV-A||||mb|5.2|--|Crete, Greece [Sea: Greece]
16386001|2017-07-19T20:16:53.820000|36.1198|13.0927|20.2|SURVEY-INGV||||ML|3.1|--|Canale di Sicilia meridionale (MARE)
16399131|2017-07-20T22:31:11.881000|36.9088|27.4504|10.0|SURVEY-INGV-A||||Mwp|6.7|--|Turkey [Sea]
16410181|2017-07-21T17:03:55.390000|45.661|10.6975|9.6|BULLETIN-INGV||||Mw|3.2|--|4 km NW San Zeno di Montagna (VR)
16414561|2017-07-22T01:05:25.790000|41.4112|19.7672|30.0|SURVEY-INGV||||ML|3.0|--|Costa Albanese settentrionale (ALBANIA)
16415301|2017-07-22T02:13:08.050000|42.567|13.3255|13.3|BULLETIN-INGV||||Mw|4.0|--|4 km W Campotosto (AQ)
16461031|2017-07-24T15:31:01.360000|43.0148|13.0802|9.7|SURVEY-INGV||||ML|3.0|--|3 km SW Fiordimonte (MC)
16498631|2017-07-27T05:39:39.720000|42.7303|13.1807|8.8|SURVEY-INGV||||ML|3.0|--|7 km NW Accumoli (RI)
16538841|2017-07-30T08:05:27.000000|38.484|14.784|14.9|SURVEY-INGV-CT||||ML|3.3|--|Isole Eolie (Messina)
16544191|2017-07-30T16:58:51.180000|39.6513|15.6642|278.6|SURVEY-INGV||||ML|3.1|--|Costa Calabra nord-occidentale (Cosenza)
16546651|2017-07-30T21:19:33.890000|42.4472|15.2937|10.0|BULLETIN-INGV||||ML|3.5|--|Adriatico Centrale (MARE)
16549231|2017-07-31T02:37:21.210000|42.7342|15.3025|12.0|SURVEY-INGV||||ML|3.0|--|Adriatico Centrale (MARE)
16560951|2017-07-31T21:29:13.940000|34.587|24.003|19.5|SURVEY-INGV||||mb|5.2|--|Crete, Greece [Sea: Greece]
16633751|2017-08-07T01:29:22.150000|42.8218|13.1767|10.5|SURVEY-INGV||||ML|3.2|--|7 km E Norcia (PG)
16646791|2017-08-08T04:33:53.280000|42.3967|15.2163|10.0|BULLETIN-INGV||||Mw|3.7|--|Adriatico Centrale (MARE)
16648591|2017-08-08T07:42:22.700000|36.8631|27.6262|10.4|SURVEY-INGV-A||||mb|5.0|--|Turkey [Sea]
16649511|2017-08-08T09:35:07.090000|45.1572|14.6977|10.0|SURVEY-INGV||||ML|3.8|--|Costa Croata Settentrionale (CROAZIA)
